,velocity (m/d),rms_velocity,z_vel (m/d),time_mean,x_mean,y_mean,z_mean,time_median,x_median,y_median,z_median,x_std,y_std,z_std,n
524,0.013751248675612587,,0.0007559657869614884,2019-04-22 11:59:52.500,407736.76800971426,-1274944.699802935,86.23158664467593,2019-04-22 11:59:52.500,407736.7686169167,-1274944.7007433632,86.2314,0.04569606482222748,0.03776961013064467,0.024254908518902277,86400
525,0.013744998780415376,,0.0008677818714672096,2019-04-23 11:59:52.500,407736.75759218924,-1274944.7083302909,86.23231214004629,2019-04-23 11:59:52.500,407736.75822550163,-1274944.7091655075,86.2322,0.04567799383687964,0.03774424948880564,0.024270233186739675,86400
526,0.013732140974983483,,0.0009219367961518946,2019-04-24 11:59:52.500,407736.7471873022,-1274944.716872135,86.23326220601852,2019-04-24 11:59:52.500,407736.74763062876,-1274944.7177893897,86.2332,0.04568904858403099,0.03763580257172038,0.024205483167352045,86400
527,0.013660113146275438,,0.0010024524318044035,2019-04-25 11:59:52.500,407736.73672396096,-1274944.7253944564,86.23438966666666,2019-04-25 11:59:52.500,407736.7363189658,-1274944.7257436598,86.2342,0.04556431101728253,0.03730922912405092,0.024231252908749428,86400
528,0.013636399397673986,,0.000913845982364805,2019-04-26 11:59:52.500,407736.72630278475,-1274944.7340823798,86.23542673842593,2019-04-26 11:59:52.500,407736.72535847436,-1274944.7341357758,86.2352,0.04544961293151731,0.03728950941695492,0.024160662153689564,86400
529,0.013654826544930278,,0.0007934097817313839,2019-04-27 11:59:52.500,407736.7159749584,-1274944.7427538766,86.23540902546297,2019-04-27 11:59:52.500,407736.71630052954,-1274944.7424938662,86.2352,0.04550204502924193,0.037339757983145365,0.0240759913121223,86400
530,0.01361396859314867,,0.00040198997758622004,2019-04-28 11:59:52.500,407736.7056461859,-1274944.7511990054,86.23589828125,2019-04-28 11:59:52.500,407736.7060499109,-1274944.7507915492,86.2357,0.04532621150940355,0.03728219896527729,0.02373955229137594,86400
531,0.013605657789221863,,0.00020641860346558142,2019-04-29 11:59:52.500,407736.69529593,-1274944.7597186642,86.2361652824074,2019-04-29 11:59:52.500,407736.6939150087,-1274944.75931291,86.236,0.04537001930837671,0.03716858521851268,0.023757690402342962,86400
532,0.01359540317802119,,0.000132591264544294,2019-04-30 11:59:52.500,407736.68488295935,-1274944.768167696,86.23641201736112,2019-04-30 11:59:52.500,407736.68435875874,-1274944.7679100046,86.2362,0.04519471652715888,0.037314009792859544,0.023912830429938536,86400
533,0.013589439821723212,,9.586272620025481e-05,2019-05-01 11:59:52.500,407736.67452515505,-1274944.7767033626,86.2366075,2019-05-01 11:59:52.500,407736.67419870914,-1274944.776027262,86.2364,0.04499382448169495,0.03753147692160839,0.02399875390283605,86400
